feature,importance
DEF_OPP_AST_EMA_10,0.027097037
PLAYER_FGA_EMA_20,0.024216104
DEF_OPP_AST_EMA_5,0.021273617
PLAYER_FGM_EMA_10,0.02084777
PLAYER_FTA_EMA_10,0.020807484
FGA,0.018651048
PLAYER_REB_EMA_10,0.018315624
DEF_OPP_REB_EMA_5,0.017984087
PLAYER_FTM_EMA_5,0.017018411
PLAYER_AST_EMA_10,0.016854841
PLAYER_FG3M_EMA_10,0.01650105
TRAVEL_DISTANCE,0.016182544
PLUS_MINUS,0.016022213
PLAYER_AST_EMA_20,0.01466706
PLAYER_BLK_EMA_10,0.014242794
DEF_OPP_FG_PCT_EMA_10,0.014219085
PLAYER_MIN_EMA_20,0.01420709
PLAYER_AST_EMA_5,0.0137643395
PLAYER_BLK_EMA_5,0.013680718
STL,0.01354589
FT_PCT,0.013265158
DREB,0.01322644
DEF_OPP_FG_PCT_EMA_5,0.013190912
TOV,0.012859605
PLAYER_FG3M_EMA_20,0.012854159
PF,0.01270951
DEF_OPP_FG3_PCT_EMA_20,0.012703785
PLAYER_TOV_EMA_20,0.012582792
PLAYER_FG3A_EMA_20,0.012541033
PLAYER_MIN_EMA_5,0.012458197
DEF_OPP_FG3_PCT_EMA_5,0.01218105
FG_PCT,0.011937062
PLAYER_FTA_EMA_20,0.011854736
DEF_OPP_REB_EMA_10,0.01184872
PLAYER_FTA_EMA_5,0.011814829
PLAYER_FGM_EMA_5,0.011712668
DEF_OPP_REB_EMA_20,0.011370314
FTM,0.011035786
FTA,0.010991558
REB,0.010798054
PLAYER_FTM_EMA_10,0.010782349
PLAYER_REB_EMA_5,0.010737799
PLAYER_FG3A_EMA_5,0.010433466
FG3A,0.010328378
PLAYER_STL_EMA_10,0.0102152135
PLAYER_STL_EMA_5,0.010044817
PLAYER_FTM_EMA_20,0.0098578
PLAYER_TOV_EMA_10,0.00972238
AST,0.009695579
DEF_OPP_FG3_PCT_EMA_10,0.009601539
FGM,0.00947595
PLAYER_REB_EMA_20,0.009379271
PLAYER_FGM_EMA_20,0.009373605
PLAYER_FG3M_EMA_5,0.00903145
PLAYER_FGA_EMA_10,0.008935568
OREB,0.008924286
PLAYER_FG3A_EMA_10,0.008901748
PLAYER_MIN_EMA_10,0.008766486
PLAYER_FGA_EMA_5,0.008760767
FG3_PCT,0.00859445
PLAYER_TOV_EMA_5,0.008569051
PLAYER_STL_EMA_20,0.008500325
PLAYER_BLK_EMA_20,0.008306695
FG3M,0.008300948
IS_INJURED,0.007765727
DEF_OPP_FG_PCT_EMA_20,0.0077262674
IS_PLAYOFF_PUSH,0.0076168645
BLK,0.0075844433
TEAM_OFF_RTG,0.0071835974
DAYS_REST,0.0070180665
DEF_OPP_TOV_EMA_20,0.006604042
DEF_OPP_TOV_EMA_10,0.00644772
IS_BACK_TO_BACK,0.006211727
USG_PCT,0.0057076737
REB_PER_MIN,0.005527977
AST_PER_MIN,0.0053920457
IS_HOME,0.005337341
TEAM_PACE,0.0050736056
TS_PCT,0.004916801
DEF_OPP_AST_EMA_20,0.0048891786
TEAM_DEF_RTG,0.0048445566
DEF_OPP_TOV_EMA_5,0.0044653825
