TEAM,PTS_ALLOWED,GAMES,PTS_ALLOWED_STD,OPP_FG_PCT
MIN,102.14634146341463,82,14.081878689916298,0.45206261145163196
BOS,103.02439024390245,82,14.387044592019,0.45780692854454913
ORL,103.41463414634147,82,14.185674585466337,0.476793031999067
MIA,104.10975609756098,82,13.92484775948959,0.4705606474886218
NYK,104.4390243902439,82,16.20935377039192,0.4742844536016446
DEN,104.79268292682927,82,12.284425354622218,0.46630600540303496
CLE,105.79268292682927,82,13.146597743112515,0.46593298258917515
NOP,106.04878048780488,82,16.30867559702495,0.46591624503675266
PHI,106.79268292682927,82,17.087095560344558,0.47283739630399624
LAC,106.9390243902439,82,15.89265500119637,0.4654846096855238
HOU,107.1219512195122,82,16.370999836659703,0.462958176827419
OKC,107.6951219512195,82,16.73961002568772,0.4552882408475819
BKN,107.8780487804878,82,16.314342885941194,0.4719999512358378
MEM,108.6829268292683,82,13.026921837582398,0.4783174435602864
PHX,109.58536585365853,82,13.628176349212664,0.46505774880225015
CHI,109.67073170731707,82,13.44862641850142,0.47458080877346426
SAC,110.01219512195122,82,17.016690356162297,0.4812237049068456
GSW,110.04878048780488,82,17.014084535128642,0.4673560606626099
DAL,111.0,82,14.854853303438126,0.47787855810089386
POR,111.0609756097561,82,13.92869634073786,0.49332723674497847
CHA,112.47560975609755,82,12.534619328977362,0.4978554054719295
MIL,112.73170731707317,82,13.71585437537934,0.47209500720546327
LAL,112.86585365853658,82,14.131448332648706,0.47540681483226893
SAS,114.53658536585365,82,14.33909885932728,0.4897305861331285
DET,114.70731707317073,82,14.326430555659178,0.4959278249925001
UTA,115.4390243902439,82,13.036603322834084,0.49091156792865487
TOR,115.53658536585365,82,12.639537343024436,0.4941336677936734
ATL,115.58536585365853,82,16.60875213239582,0.4972406995389583
IND,115.9390243902439,82,14.923134381797134,0.4998737014912548
WAS,117.7560975609756,82,15.402870484129192,0.4998105142129319
